author,page_url,quote,tags,tags_url
Douglas Adams,https://quotes.toscrape.com/page/2/,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”","life,navigation","/tag/life/page/1/,/tag/navigation/page/1/"
Marilyn Monroe,https://quotes.toscrape.com/page/5/,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”,love,/tag/love/page/1/
Marilyn Monroe,https://quotes.toscrape.com/page/5/,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”",attributed-no-source,/tag/attributed-no-source/page/1/
Martin Luther King Jr.,https://quotes.toscrape.com/page/5/,“Only in the darkness can you see the stars.”,"hope,inspirational","/tag/hope/page/1/,/tag/inspirational/page/1/"
Mark Twain,https://quotes.toscrape.com/page/7/,“I have never let my schooling interfere with my education.”,education,/tag/education/page/1/
Dr. Seuss,https://quotes.toscrape.com/page/7/,“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!”,troubles,/tag/troubles/page/1/
Elie Wiesel,https://quotes.toscrape.com/page/2/,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”","activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","/tag/activism/page/1/,/tag/apathy/page/1/,/tag/hate/page/1/,/tag/indifference/page/1/,/tag/inspirational/page/1/,/tag/love/page/1/,/tag/opposite/page/1/,/tag/philosophy/page/1/"
Friedrich Nietzsche,https://quotes.toscrape.com/page/2/,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”","friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","/tag/friendship/page/1/,/tag/lack-of-friendship/page/1/,/tag/lack-of-love/page/1/,/tag/love/page/1/,/tag/marriage/page/1/,/tag/unhappy-marriage/page/1/"
Mark Twain,https://quotes.toscrape.com/page/2/,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”","books,contentment,friends,friendship,life","/tag/books/page/1/,/tag/contentment/page/1/,/tag/friends/page/1/,/tag/friendship/page/1/,/tag/life/page/1/"
J.K. Rowling,https://quotes.toscrape.com/page/5/,"“It matters not what someone is born, but what they grow to be.”",dumbledore,/tag/dumbledore/page/1/
James Baldwin,https://quotes.toscrape.com/page/5/,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",love,/tag/love/page/1/
Allen Saunders,https://quotes.toscrape.com/page/2/,“Life is what happens to us while we are making other plans.”,"fate,life,misattributed-john-lennon,planning,plans","/tag/fate/page/1/,/tag/life/page/1/,/tag/misattributed-john-lennon/page/1/,/tag/planning/page/1/,/tag/plans/page/1/"
